scenario,phase,wall_time,ir_raw,red_raw,ir_mean,red_mean,ac_dc_ratio,peak_to_peak,bpm,spo2_est,amb_t,contact_status,contact_label,contact_conf,signal_present,contact_warmed_up,anomaly_score,anomaly_threshold,is_anomaly,anomaly_persisting_s,severity,temp_context
normal,baseline,1774761747.893,133690,111684,131000,109000,0.0299,3911.2,72,80.0,24.5,GOOD,good_contact,0.93,YES,YES,0.01675,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.993,131458,109484,131000,109000,0.0316,4145.0,72,78.2,24.5,GOOD,good_contact,0.93,YES,YES,0.00917,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.093,130163,108485,131000,109000,0.0283,3710.8,72,91.5,24.5,GOOD,good_contact,0.93,YES,YES,0.01954,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.193,130723,108654,131000,109000,0.0293,3844.0,72,72.6,24.5,GOOD,good_contact,0.93,YES,YES,0.00686,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.293,130106,108111,131000,109000,0.0325,4256.7,72,80.1,24.5,GOOD,good_contact,0.93,YES,YES,0.02921,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.393,128451,106554,131000,109000,0.0288,3775.6,72,81.2,24.5,GOOD,good_contact,0.93,YES,YES,0.02985,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.493,129501,107332,131000,109000,0.0305,3998.1,72,76.6,24.5,GOOD,good_contact,0.93,YES,YES,0.03387,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.593,133141,110579,131000,109000,0.0291,3810.4,72,87.8,24.5,GOOD,good_contact,0.93,YES,YES,0.01718,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.693,134292,111956,131000,109000,0.0287,3761.7,72,83.0,24.5,GOOD,good_contact,0.93,YES,YES,0.0553,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.793,132378,110270,131000,109000,0.0266,3486.2,72,82.3,24.5,GOOD,good_contact,0.93,YES,YES,0.01907,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.893,130447,108564,131000,109000,0.0312,4089.6,72,86.3,24.5,GOOD,good_contact,0.93,YES,YES,0.02434,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761748.993,130319,108657,131000,109000,0.0298,3903.4,72,94.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03237,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.093,130289,108617,131000,109000,0.0291,3817.6,72,93.8,24.5,GOOD,good_contact,0.93,YES,YES,0.0355,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.193,128892,107088,131000,109000,0.0294,3857.3,72,82.7,24.5,GOOD,good_contact,0.93,YES,YES,0.05729,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.293,128434,106806,131000,109000,0.0292,3822.4,72,84.3,24.5,GOOD,good_contact,0.93,YES,YES,0.04724,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.393,131595,109516,131000,109000,0.0308,4039.1,72,84.0,24.5,GOOD,good_contact,0.93,YES,YES,0.01731,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.493,134097,111881,131000,109000,0.0294,3845.9,72,82.0,24.5,GOOD,good_contact,0.93,YES,YES,0.01588,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.593,133600,111062,131000,109000,0.0275,3601.0,72,86.2,24.5,GOOD,good_contact,0.93,YES,YES,0.03277,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.693,130807,108754,131000,109000,0.0297,3890.6,72,71.7,24.5,GOOD,good_contact,0.93,YES,YES,0.02432,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.793,130191,108494,131000,109000,0.0298,3897.6,72,91.2,24.5,GOOD,good_contact,0.93,YES,YES,0.01634,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.893,130770,108824,131000,109000,0.0279,3657.5,72,87.0,24.5,GOOD,good_contact,0.93,YES,YES,0.03071,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761749.993,129281,107754,131000,109000,0.0262,3427.5,72,88.2,24.5,GOOD,good_contact,0.93,YES,YES,0.03543,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.093,128001,106554,131000,109000,0.0319,4180.3,72,85.5,24.5,GOOD,good_contact,0.93,YES,YES,0.02487,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.193,130719,108360,131000,109000,0.0295,3870.1,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.01764,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.293,133708,111367,131000,109000,0.0286,3743.5,72,83.7,24.5,GOOD,good_contact,0.93,YES,YES,0.02804,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.393,133745,111788,131000,109000,0.0288,3766.6,72,79.5,24.5,GOOD,good_contact,0.93,YES,YES,0.05114,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.493,131382,109507,131000,109000,0.0338,4433.0,72,70.1,24.5,GOOD,good_contact,0.93,YES,YES,0.01195,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.593,129949,108332,131000,109000,0.0297,3894.5,72,90.9,24.5,GOOD,good_contact,0.93,YES,YES,0.0354,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.693,130961,108733,131000,109000,0.0266,3479.5,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.01847,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.793,130177,108148,131000,109000,0.026,3408.6,72,78.9,24.5,GOOD,good_contact,0.93,YES,YES,0.02447,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.893,128458,106828,131000,109000,0.0299,3912.3,72,84.3,24.5,GOOD,good_contact,0.93,YES,YES,0.02964,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761750.993,128904,107399,131000,109000,0.0291,3809.4,72,87.0,24.5,GOOD,good_contact,0.93,YES,YES,0.03255,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.093,132950,110484,131000,109000,0.0272,3569.6,72,87.1,24.5,GOOD,good_contact,0.93,YES,YES,0.01333,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.193,134311,111991,131000,109000,0.0255,3337.5,72,82.9,24.5,GOOD,good_contact,0.93,YES,YES,0.02,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.293,132590,110367,131000,109000,0.0291,3814.3,72,84.2,24.5,GOOD,good_contact,0.93,YES,YES,0.04002,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.393,130315,108438,131000,109000,0.028,3665.1,72,85.3,24.5,GOOD,good_contact,0.93,YES,YES,0.04791,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.493,130741,108659,131000,109000,0.0341,4466.1,72,70.5,24.5,GOOD,good_contact,0.93,YES,YES,0.02451,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.593,130553,108551,131000,109000,0.0287,3755.6,72,79.8,24.5,GOOD,good_contact,0.93,YES,YES,0.05974,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.693,128938,106927,131000,109000,0.0284,3720.0,72,79.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03143,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.794,128541,106722,131000,109000,0.0256,3348.9,72,82.2,24.5,GOOD,good_contact,0.93,YES,YES,-0.0036,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.894,131557,109466,131000,109000,0.0295,3869.0,72,84.9,24.5,GOOD,good_contact,0.93,YES,YES,0.01345,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761751.994,134197,111695,131000,109000,0.0295,3865.8,72,84.7,24.5,GOOD,good_contact,0.93,YES,YES,0.03055,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.094,133625,111077,131000,109000,0.0287,3761.9,72,86.2,24.5,GOOD,good_contact,0.93,YES,YES,0.04524,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.194,130819,108820,131000,109000,0.0282,3695.9,72,80.0,24.5,GOOD,good_contact,0.93,YES,YES,0.01623,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.294,129907,108465,131000,109000,0.0294,3850.0,72,95.3,24.5,GOOD,good_contact,0.93,YES,YES,0.01957,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.394,130547,108773,131000,109000,0.0316,4143.4,72,94.9,24.5,GOOD,good_contact,0.93,YES,YES,0.02557,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.494,129179,107525,131000,109000,0.0289,3786.0,72,85.7,24.5,GOOD,good_contact,0.93,YES,YES,0.00603,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.594,128037,106567,131000,109000,0.0318,4168.9,72,85.3,24.5,GOOD,good_contact,0.93,YES,YES,0.03915,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.694,130478,108338,131000,109000,0.03,3934.0,72,71.9,24.5,GOOD,good_contact,0.93,YES,YES,0.00791,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.794,133909,111396,131000,109000,0.0278,3646.7,72,85.2,24.5,GOOD,good_contact,0.93,YES,YES,0.05499,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.894,134279,111475,131000,109000,0.0299,3910.6,72,87.3,24.5,GOOD,good_contact,0.93,YES,YES,0.01889,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761752.994,131583,109521,131000,109000,0.0296,3878.1,72,83.1,24.5,GOOD,good_contact,0.93,YES,YES,-0.00559,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.094,130017,108438,131000,109000,0.031,4060.2,72,92.8,24.5,GOOD,good_contact,0.93,YES,YES,0.05355,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.194,131064,108589,131000,109000,0.0302,3953.9,72,70,24.5,GOOD,good_contact,0.93,YES,YES,-0.00374,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.294,130252,108131,131000,109000,0.0273,3571.8,72,75.1,24.5,GOOD,good_contact,0.93,YES,YES,0.05515,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.394,128307,106507,131000,109000,0.0295,3858.7,72,82.2,24.5,GOOD,good_contact,0.93,YES,YES,0.01403,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.494,129174,107429,131000,109000,0.0311,4074.7,72,84.1,24.5,GOOD,good_contact,0.93,YES,YES,0.00365,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.594,132898,110668,131000,109000,0.0277,3634.6,72,83.6,24.5,GOOD,good_contact,0.93,YES,YES,0.02816,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.694,134582,111885,131000,109000,0.03,3929.6,72,85.8,24.5,GOOD,good_contact,0.93,YES,YES,0.02646,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.794,132311,110386,131000,109000,0.0302,3958.3,72,78.2,24.5,GOOD,good_contact,0.93,YES,YES,0.02249,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.894,130268,108435,131000,109000,0.0309,4046.2,72,86.8,24.5,GOOD,good_contact,0.93,YES,YES,0.0228,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761753.994,130634,108606,131000,109000,0.0299,3923.3,72,77.6,24.5,GOOD,good_contact,0.93,YES,YES,0.02326,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.094,130582,108512,131000,109000,0.0303,3965.9,72,74.9,24.5,GOOD,good_contact,0.93,YES,YES,0.03509,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.194,128614,106970,131000,109000,0.0276,3612.0,72,84.4,24.5,GOOD,good_contact,0.93,YES,YES,0.01389,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.294,128188,106899,131000,109000,0.0289,3790.7,72,87.5,24.5,GOOD,good_contact,0.93,YES,YES,0.04855,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.394,132027,109476,131000,109000,0.0266,3490.4,72,96.1,24.5,GOOD,good_contact,0.93,YES,YES,0.01928,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.494,134427,111738,131000,109000,0.0286,3749.9,72,86.0,24.5,GOOD,good_contact,0.93,YES,YES,0.0293,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.594,133334,110952,131000,109000,0.0278,3648.2,72,84.9,24.5,GOOD,good_contact,0.93,YES,YES,0.0518,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.694,130814,108806,131000,109000,0.0284,3725.4,72,78.6,24.5,GOOD,good_contact,0.93,YES,YES,0.03932,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.794,130203,108491,131000,109000,0.0301,3945.6,72,90.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03624,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.894,130970,108699,131000,109000,0.0307,4026.5,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.01311,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761754.994,129201,107668,131000,109000,0.0303,3964.5,72,87.8,24.5,GOOD,good_contact,0.93,YES,YES,0.02503,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.094,127824,106607,131000,109000,0.028,3673.9,72,87.4,24.5,GOOD,good_contact,0.93,YES,YES,0.01114,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.194,130142,108415,131000,109000,0.0258,3375.8,72,89.5,24.5,GOOD,good_contact,0.93,YES,YES,0.03041,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.294,133881,111316,131000,109000,0.0306,4007.4,72,85.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03417,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.394,134044,111574,131000,109000,0.0301,3939.0,72,84.6,24.5,GOOD,good_contact,0.93,YES,YES,0.00226,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.494,131516,109433,131000,109000,0.0291,3814.0,72,84.8,24.5,GOOD,good_contact,0.93,YES,YES,0.02817,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.594,130256,108467,131000,109000,0.0294,3845.6,72,88.5,24.5,GOOD,good_contact,0.93,YES,YES,0.02028,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.694,130461,108811,131000,109000,0.0298,3905.6,72,99.5,24.5,GOOD,good_contact,0.93,YES,YES,0.04676,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.794,129779,108113,131000,109000,0.0289,3788.3,72,88.2,24.5,GOOD,good_contact,0.93,YES,YES,0.02369,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.894,128180,106521,131000,109000,0.0303,3965.0,72,83.6,24.5,GOOD,good_contact,0.93,YES,YES,0.0348,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761755.994,129378,107646,131000,109000,0.0285,3736.2,72,84.9,24.5,GOOD,good_contact,0.93,YES,YES,0.02446,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.094,132836,110678,131000,109000,0.0264,3453.8,72,82.5,24.5,GOOD,good_contact,0.93,YES,YES,0.03229,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.194,134248,111733,131000,109000,0.0259,3395.8,72,84.7,24.5,GOOD,good_contact,0.93,YES,YES,0.00427,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.294,132714,110175,131000,109000,0.0287,3754.5,72,89.4,24.5,GOOD,good_contact,0.93,YES,YES,0.00755,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.394,130517,108410,131000,109000,0.031,4063.5,72,73.3,24.5,GOOD,good_contact,0.93,YES,YES,0.0101,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.494,130390,108630,131000,109000,0.029,3804.9,72,91.8,24.5,GOOD,good_contact,0.93,YES,YES,0.04637,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.594,130453,108430,131000,109000,0.0282,3687.9,72,78.7,24.5,GOOD,good_contact,0.93,YES,YES,0.01641,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.694,128782,107069,131000,109000,0.0288,3776.1,72,83.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03804,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.794,128279,106819,131000,109000,0.0293,3836.2,72,85.9,24.5,GOOD,good_contact,0.93,YES,YES,0.04792,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.894,131551,109446,131000,109000,0.0274,3590.8,72,85.7,24.5,GOOD,good_contact,0.93,YES,YES,0.03529,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761756.994,134325,111885,131000,109000,0.0261,3419.7,72,83.9,24.5,GOOD,good_contact,0.93,YES,YES,0.04065,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.094,133160,110951,131000,109000,0.0306,4011.7,72,82.8,24.5,GOOD,good_contact,0.93,YES,YES,0.00498,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.194,130830,108878,131000,109000,0.0275,3600.3,72,88.4,24.5,GOOD,good_contact,0.93,YES,YES,0.04514,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.294,130640,108295,131000,109000,0.0268,3510.2,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.03712,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.394,130429,108712,131000,109000,0.0292,3825.9,72,94.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03538,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.494,129236,107580,131000,109000,0.0278,3644.7,72,85.8,24.5,GOOD,good_contact,0.93,YES,YES,0.04439,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.594,127963,106589,131000,109000,0.0282,3697.7,72,86.1,24.5,GOOD,good_contact,0.93,YES,YES,0.02659,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.694,130238,108382,131000,109000,0.0275,3597.2,72,85.6,24.5,GOOD,good_contact,0.93,YES,YES,0.03695,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.794,134129,111382,131000,109000,0.0301,3946.5,72,87.1,24.5,GOOD,good_contact,0.93,YES,YES,0.03757,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.894,134351,111652,131000,109000,0.0293,3842.5,72,86.2,24.5,GOOD,good_contact,0.93,YES,YES,0.03796,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761757.994,131597,109406,131000,109000,0.029,3804.8,72,89.5,24.5,GOOD,good_contact,0.93,YES,YES,-0.00333,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.094,130247,108409,131000,109000,0.0309,4047.2,72,86.4,24.5,GOOD,good_contact,0.93,YES,YES,0.02727,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.194,130889,108754,131000,109000,0.0274,3595.3,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.00383,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.294,129735,108002,131000,109000,0.03,3926.7,72,86.3,24.5,GOOD,good_contact,0.93,YES,YES,0.02189,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.394,128292,106664,131000,109000,0.0306,4008.8,72,84.1,24.5,GOOD,good_contact,0.93,YES,YES,0.0409,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.494,129023,107444,131000,109000,0.0282,3693.4,72,86.4,24.5,GOOD,good_contact,0.93,YES,YES,0.00068,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.594,132969,110617,131000,109000,0.029,3798.7,72,85.3,24.5,GOOD,good_contact,0.93,YES,YES,0.0176,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.694,134760,111752,131000,109000,0.0293,3835.5,72,88.0,24.5,GOOD,good_contact,0.93,YES,YES,0.02715,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.794,132386,110356,131000,109000,0.0305,3994.1,72,80.6,24.5,GOOD,good_contact,0.93,YES,YES,0.02108,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.894,130378,108467,131000,109000,0.0282,3697.6,72,84.3,24.5,GOOD,good_contact,0.93,YES,YES,0.00538,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761758.994,130819,108703,131000,109000,0.0302,3959.6,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.00858,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.094,130845,108685,131000,109000,0.0293,3837.6,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.01144,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.194,128464,107072,131000,109000,0.0276,3617.4,72,87.2,24.5,GOOD,good_contact,0.93,YES,YES,0.02449,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.294,128603,106709,131000,109000,0.0321,4201.1,72,81.3,24.5,GOOD,good_contact,0.93,YES,YES,0.0485,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.394,131324,109361,131000,109000,0.0286,3743.3,72,76.5,24.5,GOOD,good_contact,0.93,YES,YES,0.00953,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.494,134390,111651,131000,109000,0.0287,3754.3,72,86.5,24.5,GOOD,good_contact,0.93,YES,YES,0.05204,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.594,133203,110992,131000,109000,0.0267,3502.1,72,82.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03457,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.694,130801,109028,131000,109000,0.0293,3841.4,72,100,24.5,GOOD,good_contact,0.93,YES,YES,0.01942,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.794,130450,108412,131000,109000,0.027,3532.1,72,77.9,24.5,GOOD,good_contact,0.93,YES,YES,0.02953,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.894,130655,108756,131000,109000,0.0296,3875.1,72,88.7,24.5,GOOD,good_contact,0.93,YES,YES,0.01735,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761759.994,129365,107712,131000,109000,0.0273,3578.4,72,86.3,24.5,GOOD,good_contact,0.93,YES,YES,0.05106,-0.05826,NO,,NORMAL,STABLE
